Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
136,Exit Long,Close entry(s) order buy,2023-11-30 14:35,23.12,487,14.61,0.13,1275.19,0.13,29.22,0.26,24.35,0.22
136,Entry Long,buy,2023-11-30 11:35,23.09,487,14.61,0.13,1275.19,0.13,29.22,0.26,24.35,0.22
135,Exit Long,Close entry(s) order buy,2023-11-29 11:35,22.86,492,-19.68,-0.17,1260.58,-0.17,113.16,1,34.44,0.31
135,Entry Long,buy,2023-11-28 15:05,22.90,492,-19.68,-0.17,1260.58,-0.17,113.16,1,34.44,0.31
134,Exit Long,Close entry(s) order buy,2023-11-28 12:35,22.86,493,69.02,0.62,1280.26,0.62,83.81,0.75,44.37,0.4
134,Entry Long,buy,2023-11-28 10:05,22.72,493,69.02,0.62,1280.26,0.62,83.81,0.75,44.37,0.4
133,Exit Long,Close entry(s) order buy,2023-11-27 11:35,22.53,497,-49.70,-0.44,1211.24,-0.44,34.79,0.31,54.67,0.49
133,Entry Long,buy,2023-11-27 09:45,22.63,497,-49.70,-0.44,1211.24,-0.44,34.79,0.31,54.67,0.49
132,Exit Long,Close entry(s) order buy,2023-11-27 09:40,22.63,497,208.74,1.89,1260.94,1.89,233.59,2.12,4.97,0.05
132,Entry Long,buy,2023-11-24 11:35,22.21,497,208.74,1.89,1260.94,1.89,233.59,2.12,4.97,0.05
131,Exit Long,Close entry(s) order buy,2023-11-21 15:35,21.80,506,-20.24,-0.18,1052.20,-0.18,5.06,0.05,20.24,0.18
131,Entry Long,buy,2023-11-21 14:50,21.84,506,-20.24,-0.18,1052.20,-0.18,5.06,0.05,20.24,0.18
130,Exit Long,Close entry(s) order buy,2023-11-21 13:35,21.80,507,-30.42,-0.27,1072.44,-0.27,10.14,0.09,30.42,0.27
130,Entry Long,buy,2023-11-21 12:35,21.86,507,-30.42,-0.27,1072.44,-0.27,10.14,0.09,30.42,0.27
129,Exit Long,Close entry(s) order buy,2023-11-16 11:35,21.89,507,-45.63,-0.41,1102.86,-0.41,30.42,0.27,50.70,0.45
129,Entry Long,buy,2023-11-16 10:05,21.98,507,-45.63,-0.41,1102.86,-0.41,30.42,0.27,50.70,0.45
128,Exit Long,Close entry(s) order buy,2023-11-15 13:35,21.48,519,-20.76,-0.19,1148.49,-0.19,0,0,25.95,0.23
128,Entry Long,buy,2023-11-15 12:35,21.52,519,-20.76,-0.19,1148.49,-0.19,0,0,25.95,0.23
127,Exit Long,Close entry(s) order buy,2023-11-15 11:35,21.44,521,46.89,0.42,1169.25,0.42,72.94,0.66,57.31,0.52
127,Entry Long,buy,2023-11-15 09:50,21.35,521,46.89,0.42,1169.25,0.42,72.94,0.66,57.31,0.52
126,Exit Long,Close entry(s) order buy,2023-11-06 13:35,21.19,524,0,0,1122.36,0,10.48,0.09,0,0
126,Entry Long,buy,2023-11-06 13:05,21.19,524,0,0,1122.36,0,10.48,0.09,0,0
125,Exit Long,Close entry(s) order buy,2023-10-30 12:35,21.41,519,25.95,0.23,1122.36,0.23,31.14,0.28,25.95,0.23
125,Entry Long,buy,2023-10-30 11:40,21.36,519,25.95,0.23,1122.36,0.23,31.14,0.28,25.95,0.23
124,Exit Long,Close entry(s) order buy,2023-10-30 11:35,21.40,518,124.32,1.13,1096.41,1.13,233.10,2.13,5.18,0.05
124,Entry Long,buy,2023-10-27 15:45,21.16,518,124.32,1.13,1096.41,1.13,233.10,2.13,5.18,0.05
123,Exit Long,Close entry(s) order buy,2023-10-27 15:35,21.17,518,129.50,1.2,972.09,1.19,139.86,1.29,0,0
123,Entry Long,buy,2023-10-27 13:35,20.92,518,129.50,1.2,972.09,1.19,139.86,1.29,0,0
122,Exit Long,Close entry(s) order buy,2023-10-27 11:35,20.82,521,-78.15,-0.72,842.59,-0.72,15.63,0.14,93.78,0.86
122,Entry Long,buy,2023-10-27 09:35,20.97,521,-78.15,-0.72,842.59,-0.72,15.63,0.14,93.78,0.86
121,Exit Long,Close entry(s) order buy,2023-10-26 15:35,20.84,524,0,0,920.74,0,52.40,0.48,10.48,0.1
121,Entry Long,buy,2023-10-26 12:35,20.84,524,0,0,920.74,0,52.40,0.48,10.48,0.1
120,Exit Long,Close entry(s) order buy,2023-10-25 15:35,20.99,520,26.00,0.24,920.74,0.24,57.20,0.53,26.00,0.24
120,Entry Long,buy,2023-10-25 12:35,20.94,520,26.00,0.24,920.74,0.24,57.20,0.53,26.00,0.24
119,Exit Long,Close entry(s) order buy,2023-10-20 12:35,21.52,506,263.12,2.48,894.74,2.47,364.32,3.43,0,0
119,Entry Long,buy,2023-10-19 15:10,21.00,506,263.12,2.48,894.74,2.47,364.32,3.43,0,0
118,Exit Long,Close entry(s) order buy,2023-10-18 09:40,21.30,499,169.66,1.62,631.62,1.62,174.65,1.67,19.96,0.19
118,Entry Long,buy,2023-10-17 15:35,20.96,499,169.66,1.62,631.62,1.62,174.65,1.67,19.96,0.19
117,Exit Long,Close entry(s) order buy,2023-10-17 13:35,20.95,499,-19.96,-0.19,461.96,-0.19,14.97,0.14,34.93,0.33
117,Entry Long,buy,2023-10-17 12:35,20.99,499,-19.96,-0.19,461.96,-0.19,14.97,0.14,34.93,0.33
116,Exit Long,Close entry(s) order buy,2023-10-17 11:35,20.95,500,-35.00,-0.33,481.92,-0.33,5.00,0.05,50.00,0.48
116,Entry Long,buy,2023-10-17 10:35,21.02,500,-35.00,-0.33,481.92,-0.33,5.00,0.05,50.00,0.48
115,Exit Long,Close entry(s) order buy,2023-10-13 12:35,20.78,506,30.36,0.29,516.92,0.29,80.96,0.77,15.18,0.14
115,Entry Long,buy,2023-10-13 10:35,20.72,506,30.36,0.29,516.92,0.29,80.96,0.77,15.18,0.14
114,Exit Long,Close entry(s) order buy,2023-10-12 09:40,20.16,519,5.19,0.05,486.56,0.05,88.23,0.84,0,0
114,Entry Long,buy,2023-10-11 14:50,20.15,519,5.19,0.05,486.56,0.05,88.23,0.84,0,0
113,Exit Long,Close entry(s) order buy,2023-10-11 12:35,20.17,519,0,0,481.37,0,20.76,0.2,20.76,0.2
113,Entry Long,buy,2023-10-11 11:35,20.17,519,0,0,481.37,0,20.76,0.2,20.76,0.2
112,Exit Long,Close entry(s) order buy,2023-09-22 11:35,21.64,484,-38.72,-0.37,481.37,-0.37,9.68,0.09,38.72,0.37
112,Entry Long,buy,2023-09-22 10:35,21.72,484,-38.72,-0.37,481.37,-0.37,9.68,0.09,38.72,0.37
111,Exit Long,Close entry(s) order buy,2023-09-21 15:35,21.48,489,0,0,520.09,0,19.56,0.19,4.89,0.05
111,Entry Long,buy,2023-09-21 13:35,21.48,489,0,0,520.09,0,19.56,0.19,4.89,0.05
110,Exit Long,Close entry(s) order buy,2023-09-20 13:35,21.62,486,170.10,1.65,520.09,1.64,174.96,1.69,0,0
110,Entry Long,buy,2023-09-19 15:05,21.27,486,170.10,1.65,520.09,1.64,174.96,1.69,0,0
109,Exit Long,Close entry(s) order buy,2023-09-19 10:35,21.25,487,-43.83,-0.42,349.99,-0.42,24.35,0.23,77.92,0.75
109,Entry Long,buy,2023-09-19 09:40,21.34,487,-43.83,-0.42,349.99,-0.42,24.35,0.23,77.92,0.75
108,Exit Long,Close entry(s) order buy,2023-08-30 11:35,22.67,458,-36.64,-0.35,393.82,-0.35,54.96,0.53,36.64,0.35
108,Entry Long,buy,2023-08-30 09:45,22.75,458,-36.64,-0.35,393.82,-0.35,54.96,0.53,36.64,0.35
107,Exit Long,Close entry(s) order buy,2023-08-30 09:40,22.87,456,82.08,0.79,430.46,0.79,114.00,1.1,0,0
107,Entry Long,buy,2023-08-29 15:20,22.69,456,82.08,0.79,430.46,0.79,114.00,1.1,0,0
106,Exit Long,Close entry(s) order buy,2023-08-29 12:35,22.66,456,-13.68,-0.13,348.38,-0.13,22.80,0.22,13.68,0.13
106,Entry Long,buy,2023-08-29 11:40,22.69,456,-13.68,-0.13,348.38,-0.13,22.80,0.22,13.68,0.13
105,Exit Long,Close entry(s) order buy,2023-08-29 11:35,22.68,456,4.56,0.04,362.06,0.04,4.56,0.04,41.04,0.4
105,Entry Long,buy,2023-08-29 10:35,22.67,456,4.56,0.04,362.06,0.04,4.56,0.04,41.04,0.4
104,Exit Long,Close entry(s) order buy,2023-08-28 12:35,22.27,465,27.90,0.27,357.50,0.27,60.45,0.59,0,0
104,Entry Long,buy,2023-08-28 10:05,22.21,465,27.90,0.27,357.50,0.27,60.45,0.59,0,0
103,Exit Long,Close entry(s) order buy,2023-08-28 09:40,22.14,466,-46.60,-0.45,329.60,-0.45,9.32,0.09,88.54,0.85
103,Entry Long,buy,2023-08-25 14:35,22.24,466,-46.60,-0.45,329.60,-0.45,9.32,0.09,88.54,0.85
102,Exit Long,Close entry(s) order buy,2023-08-23 14:35,22.32,464,4.64,0.04,376.20,0.04,9.28,0.09,4.64,0.04
102,Entry Long,buy,2023-08-23 13:40,22.31,464,4.64,0.04,376.20,0.04,9.28,0.09,4.64,0.04
101,Exit Long,Close entry(s) order buy,2023-08-23 13:35,22.31,464,9.28,0.09,371.56,0.09,18.56,0.18,18.56,0.18
101,Entry Long,buy,2023-08-23 12:40,22.29,464,9.28,0.09,371.56,0.09,18.56,0.18,18.56,0.18
100,Exit Long,Close entry(s) order buy,2023-08-23 12:35,22.28,465,4.65,0.04,362.28,0.04,9.30,0.09,9.30,0.09
100,Entry Long,buy,2023-08-23 11:40,22.27,465,4.65,0.04,362.28,0.04,9.30,0.09,9.30,0.09
99,Exit Long,Close entry(s) order buy,2023-08-23 11:35,22.24,465,88.35,0.86,357.63,0.86,97.65,0.95,0,0
99,Entry Long,buy,2023-08-23 09:45,22.05,465,88.35,0.86,357.63,0.86,97.65,0.95,0,0
98,Exit Long,Close entry(s) order buy,2023-08-23 09:40,22.05,465,269.70,2.7,269.28,2.7,297.60,2.98,4.65,0.05
98,Entry Long,buy,2023-08-22 15:50,21.47,465,269.70,2.7,269.28,2.7,297.60,2.98,4.65,0.05
97,Exit Long,Close entry(s) order buy,2023-08-22 15:35,21.46,465,-9.30,-0.09,-0.42,-0.09,4.65,0.05,9.30,0.09
97,Entry Long,buy,2023-08-22 14:45,21.48,465,-9.30,-0.09,-0.42,-0.09,4.65,0.05,9.30,0.09
96,Exit Long,Close entry(s) order buy,2023-08-22 14:35,21.47,466,-4.66,-0.05,8.88,-0.05,0,0,9.32,0.09
96,Entry Long,buy,2023-08-22 13:35,21.48,466,-4.66,-0.05,8.88,-0.05,0,0,9.32,0.09
95,Exit Long,Close entry(s) order buy,2023-08-22 12:35,21.44,466,9.32,0.09,13.54,0.09,27.96,0.28,4.66,0.05
95,Entry Long,buy,2023-08-22 11:20,21.42,466,9.32,0.09,13.54,0.09,27.96,0.28,4.66,0.05
94,Exit Long,Close entry(s) order buy,2023-08-22 09:40,21.37,468,-4.68,-0.05,4.22,-0.05,4.68,0.05,18.72,0.19
94,Entry Long,buy,2023-08-21 15:40,21.38,468,-4.68,-0.05,4.22,-0.05,4.68,0.05,18.72,0.19
93,Exit Long,Close entry(s) order buy,2023-08-21 15:35,21.38,468,4.68,0.05,8.90,0.05,4.68,0.05,4.68,0.05
93,Entry Long,buy,2023-08-21 14:50,21.37,468,4.68,0.05,8.90,0.05,4.68,0.05,4.68,0.05
92,Exit Long,Close entry(s) order buy,2023-08-21 14:35,21.36,468,56.16,0.56,4.22,0.56,65.52,0.66,102.96,1.04
92,Entry Long,buy,2023-08-21 09:40,21.24,468,56.16,0.56,4.22,0.56,65.52,0.66,102.96,1.04
91,Exit Long,Close entry(s) order buy,2023-07-27 10:35,22.15,449,-332.26,-3.23,-51.94,-3.23,17.96,0.17,372.67,3.63
91,Entry Long,buy,2023-07-26 15:05,22.89,449,-332.26,-3.23,-51.94,-3.23,17.96,0.17,372.67,3.63
90,Exit Long,Close entry(s) order buy,2023-07-26 12:35,22.82,450,58.50,0.57,280.32,0.57,85.50,0.84,0,0
90,Entry Long,buy,2023-07-26 11:05,22.69,450,58.50,0.57,280.32,0.57,85.50,0.84,0,0
89,Exit Long,Close entry(s) order buy,2023-07-20 10:35,22.88,446,-93.66,-0.91,221.82,-0.91,13.38,0.13,93.66,0.91
89,Entry Long,buy,2023-07-19 15:35,23.09,446,-93.66,-0.91,221.82,-0.91,13.38,0.13,93.66,0.91
88,Exit Long,Close entry(s) order buy,2023-07-19 14:35,23.06,447,-8.94,-0.09,315.48,-0.09,13.41,0.13,13.41,0.13
88,Entry Long,buy,2023-07-19 12:35,23.08,447,-8.94,-0.09,315.48,-0.09,13.41,0.13,13.41,0.13
87,Exit Long,Close entry(s) order buy,2023-07-19 11:35,23.04,448,-35.84,-0.35,324.42,-0.35,4.48,0.04,89.60,0.87
87,Entry Long,buy,2023-07-19 10:05,23.12,448,-35.84,-0.35,324.42,-0.35,4.48,0.04,89.60,0.87
86,Exit Long,Close entry(s) order buy,2023-07-18 13:35,22.97,451,-27.06,-0.26,360.26,-0.26,22.55,0.22,36.08,0.35
86,Entry Long,buy,2023-07-18 11:35,23.03,451,-27.06,-0.26,360.26,-0.26,22.55,0.22,36.08,0.35
85,Exit Long,Close entry(s) order buy,2023-07-14 11:35,22.85,454,31.78,0.31,387.32,0.31,77.18,0.75,31.78,0.31
85,Entry Long,buy,2023-07-14 10:05,22.78,454,31.78,0.31,387.32,0.31,77.18,0.75,31.78,0.31
84,Exit Long,Close entry(s) order buy,2023-07-13 14:35,22.73,455,-13.65,-0.13,355.54,-0.13,9.10,0.09,13.65,0.13
84,Entry Long,buy,2023-07-13 14:05,22.76,455,-13.65,-0.13,355.54,-0.13,9.10,0.09,13.65,0.13
83,Exit Long,Close entry(s) order buy,2023-07-13 12:35,22.64,458,-22.90,-0.22,369.19,-0.22,0,0,64.12,0.62
83,Entry Long,buy,2023-07-13 11:40,22.69,458,-22.90,-0.22,369.19,-0.22,0,0,64.12,0.62
82,Exit Long,Close entry(s) order buy,2023-07-13 11:35,22.69,457,82.26,0.8,392.09,0.8,86.83,0.84,9.14,0.09
82,Entry Long,buy,2023-07-13 09:45,22.51,457,82.26,0.8,392.09,0.8,86.83,0.84,9.14,0.09
81,Exit Long,Close entry(s) order buy,2023-07-13 09:40,22.47,458,0,0,309.83,0,18.32,0.18,13.74,0.13
81,Entry Long,buy,2023-07-13 09:35,22.47,458,0,0,309.83,0,18.32,0.18,13.74,0.13
80,Exit Long,Close entry(s) order buy,2023-07-12 15:35,22.15,465,9.30,0.09,309.83,0.09,9.30,0.09,4.65,0.05
80,Entry Long,buy,2023-07-12 14:35,22.13,465,9.30,0.09,309.83,0.09,9.30,0.09,4.65,0.05
79,Exit Long,Close entry(s) order buy,2023-07-12 13:35,22.10,466,41.94,0.41,300.53,0.41,69.90,0.68,4.66,0.05
79,Entry Long,buy,2023-07-12 11:45,22.01,466,41.94,0.41,300.53,0.41,69.90,0.68,4.66,0.05
78,Exit Long,Close entry(s) order buy,2023-07-12 11:35,22.02,465,4.65,0.05,258.59,0.05,4.65,0.05,32.55,0.32
78,Entry Long,buy,2023-07-12 11:05,22.01,465,4.65,0.05,258.59,0.05,4.65,0.05,32.55,0.32
77,Exit Long,Close entry(s) order buy,2023-07-11 11:35,21.21,483,-14.49,-0.14,253.94,-0.14,28.98,0.28,28.98,0.28
77,Entry Long,buy,2023-07-10 15:40,21.24,483,-14.49,-0.14,253.94,-0.14,28.98,0.28,28.98,0.28
76,Exit Long,Close entry(s) order buy,2023-07-10 15:35,21.25,483,4.83,0.05,268.43,0.05,4.83,0.05,9.66,0.09
76,Entry Long,buy,2023-07-10 14:45,21.24,483,4.83,0.05,268.43,0.05,4.83,0.05,9.66,0.09
75,Exit Long,Close entry(s) order buy,2023-07-10 14:35,21.23,483,0,0,263.60,0,9.66,0.09,9.66,0.09
75,Entry Long,buy,2023-07-10 13:05,21.23,483,0,0,263.60,0,9.66,0.09,9.66,0.09
74,Exit Long,Close entry(s) order buy,2023-07-10 09:40,21.12,485,-43.65,-0.42,263.60,-0.42,4.85,0.05,77.60,0.75
74,Entry Long,buy,2023-07-07 13:35,21.21,485,-43.65,-0.42,263.60,-0.42,4.85,0.05,77.60,0.75
73,Exit Long,Close entry(s) order buy,2023-07-07 12:35,21.17,487,-19.48,-0.19,307.25,-0.19,14.61,0.14,34.09,0.33
73,Entry Long,buy,2023-07-07 10:35,21.21,487,-19.48,-0.19,307.25,-0.19,14.61,0.14,34.09,0.33
72,Exit Long,Close entry(s) order buy,2023-07-05 13:35,21.29,485,29.10,0.28,326.73,0.28,58.20,0.57,63.05,0.61
72,Entry Long,buy,2023-07-05 10:05,21.23,485,29.10,0.28,326.73,0.28,58.20,0.57,63.05,0.61
71,Exit Long,Close entry(s) order buy,2023-06-20 09:40,21.38,481,-341.51,-3.21,297.63,-3.21,48.10,0.45,341.51,3.21
71,Entry Long,buy,2023-06-16 13:20,22.09,481,-341.51,-3.21,297.63,-3.21,48.10,0.45,341.51,3.21
70,Exit Long,Close entry(s) order buy,2023-06-16 12:35,22.03,482,48.20,0.46,639.14,0.46,139.78,1.32,9.64,0.09
70,Entry Long,buy,2023-06-15 15:40,21.93,482,48.20,0.46,639.14,0.46,139.78,1.32,9.64,0.09
69,Exit Long,Close entry(s) order buy,2023-06-15 15:35,21.91,483,4.83,0.05,590.94,0.05,9.66,0.09,4.83,0.05
69,Entry Long,buy,2023-06-15 15:20,21.90,483,4.83,0.05,590.94,0.05,9.66,0.09,4.83,0.05
68,Exit Long,Close entry(s) order buy,2023-06-15 14:35,21.89,483,0,0,586.11,0,19.32,0.18,4.83,0.05
68,Entry Long,buy,2023-06-15 13:40,21.89,483,0,0,586.11,0,19.32,0.18,4.83,0.05
67,Exit Long,Close entry(s) order buy,2023-06-15 13:35,21.90,483,0,0,586.11,0,14.49,0.14,14.49,0.14
67,Entry Long,buy,2023-06-15 12:35,21.90,483,0,0,586.11,0,14.49,0.14,14.49,0.14
66,Exit Long,Close entry(s) order buy,2023-06-14 13:35,22.05,480,-4.80,-0.05,586.11,-0.05,4.80,0.05,14.40,0.14
66,Entry Long,buy,2023-06-14 12:40,22.06,480,-4.80,-0.05,586.11,-0.05,4.80,0.05,14.40,0.14
65,Exit Long,Close entry(s) order buy,2023-06-14 12:35,22.08,479,14.37,0.14,590.91,0.14,28.74,0.27,4.79,0.05
65,Entry Long,buy,2023-06-14 11:05,22.05,479,14.37,0.14,590.91,0.14,28.74,0.27,4.79,0.05
64,Exit Long,Close entry(s) order buy,2023-06-09 11:35,22.38,472,-9.44,-0.09,576.54,-0.09,51.92,0.49,18.88,0.18
64,Entry Long,buy,2023-06-09 10:20,22.40,472,-9.44,-0.09,576.54,-0.09,51.92,0.49,18.88,0.18
63,Exit Long,Close entry(s) order buy,2023-06-09 09:40,22.26,475,-9.50,-0.09,585.98,-0.09,0,0,14.25,0.13
63,Entry Long,buy,2023-06-09 09:35,22.28,475,-9.50,-0.09,585.98,-0.09,0,0,14.25,0.13
62,Exit Long,Close entry(s) order buy,2023-06-08 15:35,22.26,475,-14.25,-0.13,595.48,-0.13,0,0,19.00,0.18
62,Entry Long,buy,2023-06-08 15:05,22.29,475,-14.25,-0.13,595.48,-0.13,0,0,19.00,0.18
61,Exit Long,Close entry(s) order buy,2023-06-08 14:35,22.28,476,0,0,609.73,0,4.76,0.04,4.76,0.04
61,Entry Long,buy,2023-06-08 14:20,22.28,476,0,0,609.73,0,4.76,0.04,4.76,0.04
60,Exit Long,Close entry(s) order buy,2023-06-08 13:35,22.25,476,-9.52,-0.09,609.73,-0.09,23.80,0.22,14.28,0.13
60,Entry Long,buy,2023-06-08 12:20,22.27,476,-9.52,-0.09,609.73,-0.09,23.80,0.22,14.28,0.13
59,Exit Long,Close entry(s) order buy,2023-06-08 11:35,22.24,477,-42.93,-0.4,619.25,-0.4,0,0,66.78,0.63
59,Entry Long,buy,2023-06-08 10:35,22.33,477,-42.93,-0.4,619.25,-0.4,0,0,66.78,0.63
58,Exit Long,Close entry(s) order buy,2023-06-07 11:35,21.74,490,-49.00,-0.46,662.18,-0.46,122.50,1.14,58.80,0.55
58,Entry Long,buy,2023-06-07 09:50,21.84,490,-49.00,-0.46,662.18,-0.46,122.50,1.14,58.80,0.55
57,Exit Long,Close entry(s) order buy,2023-06-07 09:40,21.73,493,29.58,0.28,711.18,0.28,39.44,0.37,9.86,0.09
57,Entry Long,buy,2023-06-06 14:40,21.67,493,29.58,0.28,711.18,0.28,39.44,0.37,9.86,0.09
56,Exit Long,Close entry(s) order buy,2023-06-06 14:35,21.66,493,4.93,0.05,681.60,0.05,14.79,0.14,4.93,0.05
56,Entry Long,buy,2023-06-06 12:35,21.65,493,4.93,0.05,681.60,0.05,14.79,0.14,4.93,0.05
55,Exit Long,Close entry(s) order buy,2023-06-06 09:40,21.54,495,-64.35,-0.6,676.67,-0.6,0,0,74.25,0.69
55,Entry Long,buy,2023-06-05 15:35,21.67,495,-64.35,-0.6,676.67,-0.6,0,0,74.25,0.69
54,Exit Long,Close entry(s) order buy,2023-06-01 14:35,21.93,490,0,0,741.02,0,9.80,0.09,9.80,0.09
54,Entry Long,buy,2023-06-01 13:35,21.93,490,0,0,741.02,0,9.80,0.09,9.80,0.09
53,Exit Long,Close entry(s) order buy,2023-06-01 12:35,21.92,490,117.60,1.11,741.02,1.11,142.10,1.34,4.90,0.05
53,Entry Long,buy,2023-06-01 09:50,21.68,490,117.60,1.11,741.02,1.11,142.10,1.34,4.90,0.05
52,Exit Long,Close entry(s) order buy,2023-05-31 15:35,21.60,491,0,0,623.42,0,34.37,0.32,9.82,0.09
52,Entry Long,buy,2023-05-31 13:35,21.60,491,0,0,623.42,0,34.37,0.32,9.82,0.09
51,Exit Long,Close entry(s) order buy,2023-05-31 12:35,21.53,493,4.93,0.05,623.42,0.05,78.88,0.74,24.65,0.23
51,Entry Long,buy,2023-05-31 10:45,21.52,493,4.93,0.05,623.42,0.05,78.88,0.74,24.65,0.23
50,Exit Long,Close entry(s) order buy,2023-05-31 09:40,21.37,496,24.80,0.23,618.49,0.23,49.60,0.47,9.92,0.09
50,Entry Long,buy,2023-05-30 15:35,21.32,496,24.80,0.23,618.49,0.23,49.60,0.47,9.92,0.09
49,Exit Long,Close entry(s) order buy,2023-05-09 15:35,23.51,450,4.50,0.04,593.69,0.04,36.00,0.34,9.00,0.09
49,Entry Long,buy,2023-05-09 12:35,23.50,450,4.50,0.04,593.69,0.04,36.00,0.34,9.00,0.09
48,Exit Long,Close entry(s) order buy,2023-05-05 09:40,23.20,456,-314.64,-2.89,589.19,-2.89,22.80,0.21,328.32,3.01
48,Entry Long,buy,2023-05-04 14:50,23.89,456,-314.64,-2.89,589.19,-2.89,22.80,0.21,328.32,3.01
47,Exit Long,Close entry(s) order buy,2023-05-04 13:35,23.84,457,237.64,2.23,903.83,2.23,265.06,2.49,27.42,0.26
47,Entry Long,buy,2023-05-03 15:05,23.32,457,237.64,2.23,903.83,2.23,265.06,2.49,27.42,0.26
46,Exit Long,Close entry(s) order buy,2023-05-03 14:35,23.26,458,-32.06,-0.3,666.19,-0.3,87.02,0.81,36.64,0.34
46,Entry Long,buy,2023-05-03 13:35,23.33,458,-32.06,-0.3,666.19,-0.3,87.02,0.81,36.64,0.34
45,Exit Long,Close entry(s) order buy,2023-05-03 12:35,23.31,458,-18.32,-0.17,698.25,-0.17,36.64,0.34,27.48,0.26
45,Entry Long,buy,2023-05-03 10:35,23.35,458,-18.32,-0.17,698.25,-0.17,36.64,0.34,27.48,0.26
44,Exit Long,Close entry(s) order buy,2023-04-13 14:35,23.75,451,-13.53,-0.13,716.57,-0.13,18.04,0.17,13.53,0.13
44,Entry Long,buy,2023-04-13 13:40,23.78,451,-13.53,-0.13,716.57,-0.13,18.04,0.17,13.53,0.13
43,Exit Long,Close entry(s) order buy,2023-04-13 13:35,23.75,451,13.53,0.13,730.10,0.13,13.53,0.13,9.02,0.08
43,Entry Long,buy,2023-04-13 13:05,23.72,451,13.53,0.13,730.10,0.13,13.53,0.13,9.02,0.08
42,Exit Long,Close entry(s) order buy,2023-04-13 11:35,23.66,452,226.00,2.16,716.57,2.15,316.40,3.02,49.72,0.47
42,Entry Long,buy,2023-04-12 10:05,23.16,452,226.00,2.16,716.57,2.15,316.40,3.02,49.72,0.47
41,Exit Long,Close entry(s) order buy,2023-04-12 09:40,23.28,450,94.50,0.91,490.57,0.91,148.50,1.43,31.50,0.3
41,Entry Long,buy,2023-04-11 15:35,23.07,450,94.50,0.91,490.57,0.91,148.50,1.43,31.50,0.3
40,Exit Long,Close entry(s) order buy,2023-04-11 13:35,23.04,451,-4.51,-0.04,396.07,-0.04,22.55,0.22,31.57,0.3
40,Entry Long,buy,2023-04-11 11:40,23.05,451,-4.51,-0.04,396.07,-0.04,22.55,0.22,31.57,0.3
39,Exit Long,Close entry(s) order buy,2023-04-11 11:35,23.03,451,67.65,0.66,400.58,0.65,76.67,0.74,13.53,0.13
39,Entry Long,buy,2023-04-11 09:40,22.88,451,67.65,0.66,400.58,0.65,76.67,0.74,13.53,0.13
38,Exit Long,Close entry(s) order buy,2023-04-05 15:35,22.93,450,-18.00,-0.17,332.93,-0.17,4.50,0.04,22.50,0.22
38,Entry Long,buy,2023-04-05 14:35,22.97,450,-18.00,-0.17,332.93,-0.17,4.50,0.04,22.50,0.22
37,Exit Long,Close entry(s) order buy,2023-04-05 09:40,22.91,451,-36.08,-0.35,350.93,-0.35,0,0,81.18,0.78
